epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34991.2,0.25973,0.2818,0.96743,0.91032,0.93921,0.93294,0.92914,0.15568,42.0441,0.57594,0.000643101,0.000643101,0.000643101
43,35676.1,0.25834,0.2805,0.96542,0.91025,0.9395,0.93289,0.92913,0.15476,41.9147,0.57525,0.000628101,0.000628101,0.000628101
44,36636.1,0.25795,0.28039,0.96501,0.91023,0.93952,0.93229,0.92855,0.15393,41.7926,0.57463,0.000612981,0.000612981,0.000612981
45,37446,0.258,0.27745,0.96672,0.91046,0.93948,0.93176,0.92813,0.15324,41.5541,0.57422,0.000597754,0.000597754,0.000597754
46,38082.5,0.25609,0.27872,0.96611,0.9104,0.93966,0.93103,0.92744,0.15263,41.4948,0.5737,0.000582435,0.000582435,0.000582435
47,38718.1,0.25403,0.27342,0.96489,0.91056,0.93991,0.9306,0.92701,0.15223,41.5228,0.57342,0.00056704,0.00056704,0.00056704
48,39354,0.25236,0.26928,0.96446,0.9108,0.93993,0.93045,0.92666,0.15191,41.2419,0.57298,0.000551584,0.000551584,0.000551584
49,39989.9,0.25132,0.26545,0.96301,0.91107,0.94018,0.92977,0.92567,0.15134,41.1318,0.57239,0.000536081,0.000536081,0.000536081
50,40625.2,0.25066,0.26429,0.96246,0.91114,0.94038,0.92865,0.92471,0.15067,41.3403,0.57192,0.000520548,0.000520548,0.000520548
51,41261,0.24976,0.26377,0.96296,0.91122,0.94032,0.92748,0.92364,0.15018,41.4876,0.57162,0.000505,0.000505,0.000505
52,41896.3,0.25019,0.2659,0.96297,0.9112,0.94033,0.92762,0.92402,0.14977,41.5712,0.57134,0.000489452,0.000489452,0.000489452
53,42532.3,0.24845,0.25807,0.96213,0.91115,0.94047,0.92742,0.92419,0.14966,41.4798,0.57131,0.000473919,0.000473919,0.000473919
54,43168.2,0.24818,0.258,0.96228,0.91098,0.94053,0.92727,0.92411,0.14973,41.5581,0.57132,0.000458416,0.000458416,0.000458416
55,43804.1,0.24764,0.25503,0.96202,0.91107,0.94062,0.92692,0.92379,0.14992,41.5505,0.57126,0.00044296,0.00044296,0.00044296
56,44440.1,0.24317,0.25006,0.95969,0.9112,0.94076,0.92587,0.92282,0.15031,41.5928,0.57141,0.000427565,0.000427565,0.000427565
57,45076.2,0.24396,0.25273,0.96117,0.91141,0.94086,0.92596,0.92292,0.15051,41.74,0.5715,0.000412246,0.000412246,0.000412246
58,45711.9,0.24289,0.2497,0.95964,0.91136,0.94098,0.92559,0.92248,0.15038,41.7886,0.57144,0.000397019,0.000397019,0.000397019
59,46347.9,0.2412,0.24798,0.96053,0.91138,0.94101,0.92556,0.92232,0.14994,42.0005,0.57107,0.000381899,0.000381899,0.000381899
60,46984.7,0.24088,0.24653,0.9587,0.91154,0.94102,0.92507,0.92168,0.14972,42.1012,0.57086,0.000366899,0.000366899,0.000366899
61,47620.6,0.2407,0.24275,0.9589,0.91127,0.94125,0.92472,0.92141,0.14972,42.216,0.57081,0.000352037,0.000352037,0.000352037
